"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"244","60560",1,12,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,118,118,885,906,0,0,"0%","0","0","0","0",NA,"0","0","0"
"245","60561",6,2,1,5,1,0,1,0,0,1,0,0,0,0,0,NA,NA,455,455,751,751,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"246","60563",12,7,1,11,3,1,2,33.3333333333333,1,0,100,1,1,0,0,Inf,Inf,856,1109,1825,2086,122,122,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","11 - 20"
"247","60564",8,10,2,6,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,558,703,2152,2297,164,164,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"248","60565",5,4,2,3,4,3,1,75,1,1,50,3,2,0,0,Inf,Inf,360,360,892,892,255,115,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","201 - 300","101 - 200","01 - 10"
"249","60585",1,5,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,413,421,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"250","60586",5,14,2,3,2,1,1,50,0,2,0,1,1,0,0,Inf,Inf,210,231,485,540,153,0,"0%","0","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","0","01 - 10"
"251","60601",3,1,1,2,1,0,1,0,0,1,0,0,0,0,0,NA,NA,197,197,239,239,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"252","60602",1,1,1,0,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,119,119,171,171,119,119,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","0"
"253","60604",0,1,0,0,1,0,1,0,0,0,NA,0,0,0,0,NA,NA,0,0,140,140,0,0,NA,"0","0","0","0",NA,"0","0","0"
"254","60605",2,4,0,2,1,0,1,0,0,0,NA,0,0,0,0,NA,NA,234,234,816,866,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
